dataset,activation,hidden_layers,units_per_layer,epochs_run,final_train_loss,best_val_loss,final_test_loss,test_accuracy,run
Iris,relu,1,32,300,0.2290609105958873,0.2741135731249076,0.18841358177314368,0.9333333333333333,22
Iris,relu,1,32,300,0.18272473431314187,0.26808214209889775,0.1579976451402996,0.9666666666666667,23
Iris,relu,1,32,300,0.18769331800499786,0.3019901805187202,0.1662367079273465,0.9333333333333333,24
Iris,relu,1,32,286,0.16321642821643342,0.2864071930935432,0.14922080495258813,0.9666666666666667,25
Iris,relu,1,32,300,0.1742511710747019,0.3825174797090824,0.15016680882480862,0.9333333333333333,26
Iris,relu,1,32,300,0.20439359991623893,0.2787207866940718,0.18084090067796968,0.9333333333333333,27
Iris,relu,1,32,300,0.1996062888096771,0.3160402696135833,0.17901122806422656,0.9333333333333333,28
Iris,relu,1,32,300,0.20011235179505574,0.30249606824498926,0.1742265995253009,0.9333333333333333,29
Iris,relu,4,32,156,0.16098877709546502,0.3658835126389616,0.17536620735881742,0.9333333333333333,0
Iris,relu,4,32,108,0.1254084886664514,0.3761772994608627,0.1587023041735062,0.9333333333333333,1
Iris,relu,4,32,175,0.11789756194548416,0.23521089652321706,0.18418022603553583,0.9333333333333333,2
Iris,relu,4,32,140,0.09496480557878535,0.2682285728085616,0.14081570218284786,0.9333333333333333,3
Iris,relu,4,32,159,0.08616272639766787,0.41456558757182,0.12526029723306534,0.9333333333333333,4
Iris,relu,4,32,203,0.06210582859483904,0.2536252737071564,0.10317160025960938,1.0,5
Iris,relu,4,32,172,0.09757324444342057,0.3612892311290678,0.13348188691715276,0.9333333333333333,6
Iris,relu,4,32,220,0.07698186254033655,0.2672923670849367,0.1079447623673673,0.9666666666666667,7
Iris,relu,4,32,211,0.05970479195289489,0.20681614820340197,0.09936243075550007,1.0,8
Iris,relu,4,32,145,0.12480009398166232,0.30604953459834666,0.11983250360425653,0.9666666666666667,9
Iris,relu,4,32,128,0.09938034096613298,0.38787157766450536,0.13338340172874172,0.9333333333333333,10
Iris,relu,4,32,142,0.08516909830916174,0.23511821214412118,0.12098667933644067,0.9666666666666667,11
Iris,relu,4,32,132,0.0887229757388233,0.24596681186000277,0.11918881463099312,0.9666666666666667,12
Iris,relu,4,32,170,0.08622903955611157,0.23714576029677392,0.09206057742802047,0.9666666666666667,13
Iris,relu,4,32,167,0.07229052922106188,0.27693819406422654,0.08651938832841011,1.0,14
Iris,relu,4,32,136,0.1616365319211467,0.48686953381588705,0.20503109415387075,0.9333333333333333,15
Iris,relu,4,32,143,0.12204751979001123,0.24568372087786153,0.1547046204171796,0.9333333333333333,16
Iris,relu,4,32,133,0.06101437450872781,0.3286740513927398,0.11098766759581036,0.9333333333333333,17
Iris,relu,4,32,212,0.13428353845215837,0.2819466811774925,0.1562259902117532,0.9333333333333333,18
Iris,relu,4,32,194,0.09549617235934582,0.22271548546767148,0.12123553277206302,0.9666666666666667,19
Iris,relu,4,32,184,0.07015878607275819,0.27533221669776914,0.11188109219990901,0.9666666666666667,20
Iris,relu,4,32,127,0.17154685768415492,0.4667690333555363,0.18793932896223628,0.9333333333333333,21
